content_category,total_count,avg_preference,avg_release_year
"TV Show - British TV Shows, Reality TV, Romantic TV Shows",2,52.5,2018.0
"TV Show - British TV Shows, Romantic TV Shows, TV Dramas",2,78.0,2012.0
"TV Show - British TV Shows, TV Comedies",11,66.81818181818181,2011.4545454545455
"TV Show - British TV Shows, TV Comedies, TV Dramas",1,64.0,2013.0
"TV Show - British TV Shows, TV Dramas, TV Sci-Fi & Fantasy",1,68.0,2015.0
"TV Show - British TV Shows, TV Horror, TV Thrillers",1,68.0,2008.0
"TV Show - Classic & Cult TV, Crime TV Shows, International TV Shows",4,58.25,2016.75
"TV Show - Classic & Cult TV, Crime TV Shows, TV Dramas",1,41.0,1990.0
"TV Show - Classic & Cult TV, Kids' TV, Spanish-Language TV Shows",1,99.0,1979.0
"TV Show - Classic & Cult TV, Kids' TV, TV Action & Adventure",1,62.0,2007.0
"TV Show - Classic & Cult TV, Kids' TV, TV Comedies",1,94.0,1990.0
"TV Show - Classic & Cult TV, TV Action & Adventure, TV Dramas",2,63.5,2013.5
"TV Show - Classic & Cult TV, TV Action & Adventure, TV Horror",2,65.5,2017.5
"TV Show - Classic & Cult TV, TV Action & Adventure, TV Sci-Fi & Fantasy",2,92.0,2005.0
"TV Show - Classic & Cult TV, TV Comedies",5,48.6,1996.4
"TV Show - Classic & Cult TV, TV Dramas, TV Sci-Fi & Fantasy",1,55.0,2020.0
"TV Show - Classic & Cult TV, TV Horror, TV Mysteries",1,74.0,2015.0
"TV Show - Classic & Cult TV, TV Sci-Fi & Fantasy",1,84.0,1963.0
"TV Show - Crime TV Shows, Docuseries",50,71.76,2017.88
"TV Show - Crime TV Shows, Docuseries, International TV Shows",28,79.28571428571429,2018.642857142857
"TV Show - Crime TV Shows, Docuseries, Science & Nature TV",2,68.0,2015.0
"TV Show - Crime TV Shows, Docuseries, TV Mysteries",4,64.5,2018.5
"TV Show - Crime TV Shows, International TV Shows, Korean TV Shows",20,71.15,2017.65
"TV Show - Crime TV Shows, International TV Shows, Reality TV",1,74.0,2018.0
